Catalog format:
Year Month Day Hour Minute Second Longitude(°) Latitude(°) Depth(m)
2021 05 27 20 17 9.060 99.9331 25.7322 5514
2021 05 27 20 18 6.050 99.9315 25.7315 2806
2021 05 27 20 18 57.850 99.9329 25.7358 2893
2021 05 27 20 19 33.960 99.9002 25.6294 7857
2021 05 27 20 20 54.000 99.9315 25.7273 2705
2021 05 27 20 22 21.110 99.9334 25.7333 2997
2021 05 27 20 23 28.820 99.9331 25.7321 5019
2021 05 27 20 24 54.010 99.9337 25.7377 3222
2021 05 27 20 25 55.700 99.9340 25.6714 10386
2021 05 27 20 26 43.030 99.9364 25.7319 3112
2021 05 27 20 27 23.010 99.9331 25.7258 2963
2021 05 27 20 28 2.820 99.9499 25.5620 6819
2021 05 27 20 30 45.060 99.9330 25.7274 2518
2021 05 27 20 32 2.160 99.9336 25.7336 4190
2021 05 27 20 32 29.830 99.8685 25.6846 7283
2021 05 27 20 34 0.020 99.9287 25.7333 3220
2021 05 27 20 35 0.880 99.8234 25.7215 3861
2021 05 27 20 35 26.150 99.9367 25.7318 4140
2021 05 27 20 38 16.960 99.9019 25.6556 7163
2021 05 27 20 39 19.010 99.9345 25.7355 3208
2021 05 27 20 39 36.880 99.9758 25.5556 4579
2021 05 27 20 40 35.050 99.9505 25.5642 6699
2021 05 27 20 41 27.140 99.9343 25.7378 4347
2021 05 27 20 42 30.920 99.9322 25.7371 2951
2021 05 27 20 44 15.860 99.9764 25.5525 10813
2021 05 27 20 44 33.160 99.9236 25.6508 4663
2021 05 27 20 47 55.030 99.8786 25.6841 5775
2021 05 27 20 48 30.970 99.8811 25.6838 6854
2021 05 27 20 53 29.990 99.9309 25.7247 3629
2021 05 27 20 55 37.970 99.9347 25.7357 3499
2021 05 27 20 57 3.210 99.9345 25.7312 3292
2021 05 27 20 59 24.980 99.9331 25.7347 3604
2021 05 27 21 00 11.060 99.9334 25.6013 5780
2021 05 27 21 00 40.970 99.9309 25.7319 2753
2021 05 27 21 02 59.970 99.9335 25.7376 3631
2021 05 27 21 03 43.030 99.9349 25.7482 4558
2021 05 27 21 05 22.100 99.9340 25.6473 5365
2021 05 27 21 06 29.990 99.9348 25.7352 3598
2021 05 27 21 08 26.910 99.8986 25.6575 6648
2021 05 27 21 11 26.020 99.9534 25.6076 4100
2021 05 27 21 12 7.160 99.8884 25.7001 5200
2021 05 27 21 12 55.110 99.9023 25.6685 3784
2021 05 27 21 15 9.030 99.9347 25.7375 3430
2021 05 27 21 16 17.980 99.9831 25.5888 4400
2021 05 27 21 17 29.990 99.9250 25.7290 1360
2021 05 27 21 19 19.000 99.9337 25.7282 3550
2021 05 27 21 20 22.260 99.9679 25.5697 4918
2021 05 27 21 21 46.930 99.9308 25.7366 2748
2021 05 27 21 22 16.920 99.9331 25.7448 5314
2021 05 27 21 23 17.030 99.9374 25.7421 4347
2021 05 27 21 24 49.910 99.8996 25.6663 4368
2021 05 27 21 25 4.990 99.9838 25.6017 6859
2021 05 27 21 26 14.770 100.0210 25.8146 6711
2021 05 27 21 28 39.960 99.9570 25.6150 4918
2021 05 27 21 29 38.110 99.9492 25.6155 3906
2021 05 27 21 30 38.050 99.9825 25.5674 4.039000e+03
2021 05 27 21 31 28.950 99.9236 25.7217 -007
2021 05 27 21 32 28.040 99.9805 25.5988 4224
2021 05 27 21 34 9.120 99.9325 25.7313 3922
2021 05 27 21 35 33.030 99.9359 25.7438 4696
2021 05 27 21 40 17.110 99.9247 25.7449 5535
2021 05 27 21 41 50.940 99.9339 25.7360 3373
2021 05 27 21 44 31.950 99.9344 25.7354 3512
2021 05 27 21 47 42.940 99.9567 25.6200 5225
2021 05 27 21 55 40.180 99.8977 25.6656 1842
2021 05 27 22 14 41.960 99.9636 25.5711 4741
2021 05 27 22 16 45.120 99.9857 25.5845 2997
2021 05 27 22 19 4.900 99.9898 25.5305 2798
2021 05 27 22 20 0.270 99.9346 25.7361 3434
2021 05 27 22 21 39.970 99.9703 25.5707 5456
2021 05 27 22 23 47.870 99.9762 25.7766 10414
