Catalog format:
Year Month Day Hour Minute Second Longitude(°) Latitude(°) Depth(m) Magnitude(ML)
2021 05 27 15 29 53 99.9402 25.6001 4370.89 -0.3
2021 05 27 15 34 53 99.9836 25.5806 9450.27 0.1
2021 05 27 15 34 06 99.8962 25.6818 5305.64 0.1
2021 05 27 15 38 54 99.9143 25.6501 -91.20 0.3
2021 05 27 15 41 46 99.9413 25.5568 7057.55 -0.2
2021 05 27 15 44 36 99.9138 25.6159 7327.98 0.1
2021 05 27 15 47 17 99.9387 25.5424 3436.14 -0.4
2021 05 27 15 48 13 100.0469 25.5321 6916.46 0.0
2021 05 27 15 49 17 99.8340 25.7573 9532.57 0.7
2021 05 27 15 50 47 100.0481 25.5010 -596.79 -0.0
2021 05 27 15 49 54 99.9421 25.5563 7768.90 -0.0
2021 05 27 15 52 44 100.0061 25.5736 7348.56 0.3
2021 05 27 15 57 17 99.9293 25.5908 5887.65 0.1
2021 05 27 15 59 40 99.9546 25.5411 6331.51 0.1
2021 05 27 15 59 01 99.8962 25.6686 4509.04 -0.3
2021 05 27 16 01 34 99.9653 25.5995 5564.31 0.0
2021 05 27 16 06 20 99.9025 25.6566 7339.74 -1.3
2021 05 27 16 14 10 99.9543 25.5420 6481.42 -0.2
2021 05 27 16 15 09 99.8784 25.6816 2178.06 0.1
2021 05 27 16 15 43 100.0050 25.5246 349.72 -0.1
2021 05 27 16 19 40 99.8833 25.6767 6325.63 1.9
2021 05 27 16 21 21 99.9396 25.6169 6704.82 0.4
2021 05 27 16 22 18 99.9014 25.6276 7045.79 0.4
2021 05 27 16 25 21 99.8903 25.6762 6613.69 0.6
2021 05 27 16 26 11 99.8884 25.6753 3377.36 -0.1
2021 05 27 16 29 33 99.8691 25.6906 4785.35 0.1
2021 05 27 16 29 12 99.9437 25.6020 5817.10 -0.2
2021 05 27 16 36 31 99.9006 25.5814 7181.01 0.1
2021 05 27 16 42 06 99.8825 25.6687 3345.02 -0.1
2021 05 27 16 43 17 99.9194 25.5999 3042.26 -0.1
